id,cuisine,review_count,rating
g6AFW-zY0wDvBl9U82g4zg,italian,326,5.0
a-Mo7Ipu_c5y21mmg0-F7g,italian,173,4.5
zEwQJl9haP5BYIl0peOpGA,italian,171,4.5
-smUKwiwkWmz1qWUcgqYsg,italian,37,4.5
fyekfJA4hXNgMQ09HL9WIA,italian,48,4.5
ohEGwJtSqrVd2SD-FKKrUQ,italian,59,4.5
y769FA7VJOW4QQYdYlR62A,italian,227,4.0
B70iTJjcPkuYn8ouUewWgw,italian,974,4.0
qUWqjjjfpB2-4P3He5rsKw,italian,146,4.0
hcHaWzM5wfdAbCWs4zmmqg,italian,173,4.0
OJ6zfenoK-eBNI7vvNrOsg,italian,97,4.5
k3fn9JFiNLNy2q5p0cE1kg,italian,171,4.0
KVpvE6pOPM9KMvak4HFsNg,italian,538,4.0
desFvtCBYm3gpiiHlrFw4g,italian,49,4.5
3glVZZh_vyZH1VvPU0307A,italian,300,4.0
02Ycww2etUAxorZb5gIM8Q,italian,82,4.0
LFxMt7Oi0vdsmZ3h_UBV-g,italian,50,4.5
B9pMUND3peh4fFtGmqA4LA,italian,41,4.5
3qTSOuJ-ZyU1L7o62KHSIg,italian,192,4.0
sKrt4CMGyG8YAjxVkk4hPQ,italian,138,4.0
C4sVRSWeWuXo0OtnXewsjQ,italian,84,4.0
CZY3743GpOOhdDJu6UmPBA,italian,260,4.0
bo4loBeLwkQqZ7HGrgxXRQ,italian,141,4.0
zmfa8RNxqSuOJ9Nx-CMs_Q,italian,49,4.5
tWdp26XQEJqJGnRmFVJQxA,italian,213,4.0
wNXw53wmePcf_V3rF18LUg,italian,415,4.0
KcIalceIg6PSPONvLlI4-w,italian,156,4.0
3YKV1eralyrKQqoWOTJMDA,italian,83,4.0
U3xIe5_9iK95S9HxduOgWw,italian,111,4.0
FJMMPL3pxAPYGEPB0Hwlhw,italian,157,4.0
OlklbRrfBIlc6obPtZPF3w,italian,40,4.5
esnvHQxunLTAckQpntqbCg,italian,113,4.0
